窜瘤疙,困档,版档,笼蔼,青沥备开
窜瘤1,37.95528787681799,127.70545908835412,4636.219203573201,19备开
窜瘤2,37.043612512236976,127.87579745333711,4223.358090045156,21备开
窜瘤3,37.00285364721812,127.01171721569159,2073.6068168350516,18备开
窜瘤4,37.228229580349364,127.58945278069471,4576.5924082418505,13备开
窜瘤5,37.00743770947254,127.97979041633997,3604.5748259393567,5备开
窜瘤6,37.335456285563964,127.6266743446932,3331.531720436766,10备开
窜瘤7,37.61509545165121,127.11268806543748,4036.3980325122684,7备开
窜瘤8,37.20363499939446,127.34619902588109,2466.464227191886,1备开
窜瘤9,37.075679959045516,127.63582386153973,4907.719104486661,11备开
窜瘤10,37.24410634907642,127.70298243176127,3226.9885810923097,4备开
窜瘤11,37.01169009907805,127.1225136268775,2866.015999701708,10备开
窜瘤12,37.317786977638015,127.7633681250843,4744.478348017041,14备开
窜瘤13,37.60492334729858,127.2706604524481,2016.2456322177923,17备开
窜瘤14,37.58867452588626,127.7564640224104,3200.5255599690777,1备开
窜瘤15,37.81416325137255,127.70675127806717,4248.554004371987,14备开
窜瘤16,37.98023688359273,127.24837222285292,4491.223227885446,4备开
窜瘤17,37.58354664589867,127.43030005228654,2686.7209922799607,16备开
窜瘤18,37.81430032735178,127.31785973139401,4755.797659653254,9备开
窜瘤19,37.744658423919304,127.2272587844355,3165.6470182821913,3备开
窜瘤20,37.70935955203475,127.77701071196321,3234.7657224037603,15备开
窜瘤21,37.92387128174358,127.70497971250118,2671.8194404090686,8备开
窜瘤22,37.629513232948064,127.7739567495903,2626.744571930228,10备开
窜瘤23,37.423289154975876,127.19897114891079,4366.2981206485365,3备开
窜瘤24,37.06460577359871,127.93121043044957,4699.255561604562,18备开
窜瘤25,37.27510471124633,127.60322926081402,4884.58833677905,11备开
窜瘤26,37.66403910938976,127.968616951488,2202.6803914225893,8备开
窜瘤27,37.08775457388324,127.39129535850152,2409.7252670813104,13备开
窜瘤28,37.16933746964728,127.9647769375469,4914.7596960734945,4备开
窜瘤29,37.42570905866271,127.4418522206129,3092.45776355938,7备开
窜瘤30,37.98238268716781,127.81616311670861,4540.412136467534,16备开
窜瘤31,37.650453766806216,127.29311245221477,4960.674784558316,7备开
窜瘤32,37.90821318313983,127.60462217451696,2728.2476889036984,10备开
窜瘤33,37.04524491566311,127.94859404946362,2617.9976109657264,13备开
窜瘤34,37.919553426637606,127.1366368915621,2197.491815070845,14备开
窜瘤35,37.58044288699766,127.90688089934375,4946.634540923761,19备开
窜瘤36,37.49613133273373,127.06968174430347,4012.352781254958,3备开
窜瘤37,37.116509382734,127.77480793562472,4427.984082725077,19备开
窜瘤38,37.70479231379909,127.66445775077402,4217.980662256147,20备开
窜瘤39,37.84760400649207,127.96399502840379,3230.851856121638,3备开
窜瘤40,37.65979993888863,127.25809651416976,3728.1559687873255,3备开
窜瘤41,37.015390916364986,127.39983932981103,3045.1891244911385,7备开
窜瘤42,37.99688694285836,127.46220062619928,2134.8344299297178,16备开
窜瘤43,37.25442613675461,127.01420736582179,3143.772384939735,15备开
窜瘤44,37.449843740473746,127.54025311321904,3165.1524866167038,10备开
窜瘤45,37.05476762829353,127.14112599506701,3278.2929992355694,7备开
窜瘤46,37.53911794635054,127.51263115139143,2395.5184162721002,12备开
窜瘤47,37.46163791965758,127.72364925941466,4325.676852673691,12备开
窜瘤48,37.870509263125214,127.87878267169263,4691.449700848973,16备开
